Source;Target;Weight
5dbaa4ccb24a151722feb91f;5dbaa4d4b24a151722feb920;1
5dbaa4d37251ecfdd7e1d376;5dbaa4d97251ecfdd7e1d377;1
5dbaa4d4b24a151722feb920;5dbaa4d6b24a151722feb9e8;1
5dbaa4d6b24a151722feb9e8;5dbaa4dbb24a151722feb9ea;1
5dbaa4d97251ecfdd7e1d377;5dbaa4df7251ecfdd7e1d43f;1
5dbaa4daac2415296baf651c;5dbaa4deac2415296baf651d;1
5dbaa4daac2415296baf651c;5dbaa4deac2415296baf651e;1
5dbaa4dbb24a151722feb9ea;5dbaa4d6b24a151722feb9e8;1
5dbaa4dbb24a151722feb9ea;5dbaa4ddb24a151722febab1;1
5dbaa4ddb24a151722febab1;5dbaa4e2b24a151722febab4;1
5dbaa4deac2415296baf651e;5dbaa4e6ac2415296baf65a4;1
5dbaa4df7251ecfdd7e1d43f;5dbaa4e57251ecfdd7e1d4fd;1
5dbaa4e2b24a151722febab4;5dbaa4e5b24a151722febb7c;1
5dbaa4e2b24a151722febab4;5dbaa4ddb24a151722febab1;1
5dbaa4e57251ecfdd7e1d4fd;5dbaa4eb7251ecfdd7e1d5b4;1
5dbaa4e57251ecfdd7e1d4fd;5dbaa4df7251ecfdd7e1d43f;1
5dbaa4e5beae3d41f955d083;5dbaa4ebbeae3d41f955d084;1
5dbaa4e5beae3d41f955d083;5dbaa4d4b24a151722feb920;1
5dbaa4e5beae3d41f955d083;5dbaa4deac2415296baf651e;1
5dbaa4e5b24a151722febb7c;5dbaa4e2b24a151722febab4;1
5dbaa4e5b24a151722febb7c;5dbaa4e9b24a151722febb85;1
5dbaa4e6ac2415296baf65a4;5dbaa4e8ac2415296baf665e;1
5dbaa4e6ac2415296baf65a4;5dbaa4e8ac2415296baf665f;1
5dbaa4e8ac2415296baf665f;5dbaa4e6ac2415296baf65a4;1
5dbaa4e8ac2415296baf665f;5dbaa4ecac2415296baf6665;1
5dbaa4e9b24a151722febb85;5dbaa4eab24a151722febbc7;1
5dbaa4eab24a151722febbc7;5dbaa4f0b24a151722febbd2;1
5dbaa4eab24a151722febbc7;5dbaa4e9b24a151722febb85;1
5dbaa4ebbeae3d41f955d084;5dbaa4edbeae3d41f955d13c;1
5dbaa4eb7251ecfdd7e1d5b4;5dbaa4e57251ecfdd7e1d4fd;1
5dbaa4eb7251ecfdd7e1d5b4;5dbaa4f17251ecfdd7e1d650;1
5dbaa4ecac2415296baf6665;5dbaa4f0ac2415296baf669b;1
